species,identifier,higher_taxon,common_name,highest_common_name
Darapsa myron,CSU_ENT0057928_1-3_1581433327_lg,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,CSU_ENT1010320_1-5_1568383962_lg,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,IMG_019217,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,IMG_019220,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,IMG_019225,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,IMG_019226,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,IMG_019227,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,IMG_019228,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,SDNHM195569,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,SDNHM195572,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,UDCC_TCN_00061998_2_1484667657_lg,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,UDCC_TCN_00061999_1484667959_lg,Bombycoidea,Sphynx/Silk moths,moths
Darapsa myron,UDCC_TCN_00062099_1486414935_lg,Bombycoidea,Sphynx/Silk moths,moths
Demonarosa rufotessellata,21675481213_034cb68548,Zygaenoidea,Burnet moths,moths
Demonarosa rufotessellata,26498839739_0752fd3374,Zygaenoidea,Burnet moths,moths
Demonarosa rufotessellata,27382230024_cb90068532,Zygaenoidea,Burnet moths,moths
Demonarosa rufotessellata,29216260585_2503487952,Zygaenoidea,Burnet moths,moths
Demonarosa rufotessellata,30946557447_497aa5448c,Zygaenoidea,Burnet moths,moths
Demonarosa rufotessellata,30999773710_42ffe3a4fe,Zygaenoidea,Burnet moths,moths
Demonarosa rufotessellata,31364368455_5ec6f710f1,Zygaenoidea,Burnet moths,moths
Demonarosa rufotessellata,36731095113_7ed7d6df2d,Zygaenoidea,Burnet moths,moths
Demonarosa rufotessellata,44713227705_e73dac5cec,Zygaenoidea,Burnet moths,moths
Demonarosa rufotessellata,44962338221_3a6368fcaa,Zygaenoidea,Burnet moths,moths
Demonarosa rufotessellata,45561955021_607c691c5a,Zygaenoidea,Burnet moths,moths
Dendrolimus pini,02F890842D08BA993306F139B5574989A382AA284273F7493914C606318DC08E,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,038-03-Dendrolimus_pini_(3908&3909),Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,0F14F4C69BB06012D6C1D3DF6B433E75501DF0E49BBB8599E5FC5198DBC75C84,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,3CA795B4EDA94361F61B490FD64A7E4376CE9989DC98EEFE45E6961063E3FE52,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,628B15F67B1C7E3469C20AA1349D6286C26F81E9F56E8B9C64FB829BC0DCABBF,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,661C130DDA81A489EDCF372D176F4E526F31C9FEC804731F17B8C7B03663D51D,Lasiocampoidea,Eggars/Tent moths,moths
Dendrolimus pini,6CDDC809623FFE232636B776D0E03FA8F6D062309AF0FECB36CF8B83ACD9E66A,Lasiocampoidea,Eggars/Tent moths,moths
